INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4253)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	at java.lang.Integer.parseInt(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:29:31 | WrapperManager Error: 	... 8 more
STATUS | wrapper  | 2016/12/22 16:29:33 | <-- Wrapper Stopped
STATUS | wrapperm | 2016/12/22 16:29:46 | Order print service service removed.
ERROR  | wrapperm | 2016/12/22 16:29:50 | The Order print service service is not installed - The specified service does not exist as an installed service. (0x424)
STATUS | wrapperm | 2016/12/22 16:30:44 | Order print service service installed.
STATUS | wrapper  | 2016/12/22 16:30:44 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/22 16:30:44 | Java Service Wrapper Community Edition 32-bit 3.5.30
STATUS | wrapper  | 2016/12/22 16:30:44 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/12/22 16:30:44 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/12/22 16:30:44 | 
WARN   | wrapper  | 2016/12/22 16:30:45 | ---------------------------------------------------------------------
WARN   | wrapper  | 2016/12/22 16:30:45 | The JVM is being launched with a debugger enabled and could possibly
WARN   | wrapper  | 2016/12/22 16:30:45 | be suspended.  To avoid unwanted shutdowns, timeouts will be
WARN   | wrapper  | 2016/12/22 16:30:45 | disabled, removing the ability to detect and restart frozen JVMs.
WARN   | wrapper  | 2016/12/22 16:30:45 | ---------------------------------------------------------------------
STATUS | wrapper  | 2016/12/22 16:30:45 | Launching a JVM...
INFO   | jvm 1    | 2016/12/22 16:30:45 | Listening for transport dt_socket at address: 8001
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperSimpleApp Error: Unable to locate the class com.control.Main : java.lang.ClassNotFoundException: com.control.Main
INFO   | jvm 1    | 2016/12/22 16:30:45 | 
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at java.text.MessageFormat.<init>(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at java.text.MessageFormat.format(Unknown Source)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2016/12/22 16:30:45 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
